#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q99PT9	uniprotkb:Q7L576	intact:EBI-11092400|uniprotkb:A7DTH0	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:kif19_mouse(display_long)|uniprotkb:Kif19(gene name)|psi-mi:Kif19(display_short)|uniprotkb:Kif19a(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11092405|imex:IM-24272-747	intact-miscore:0.35
uniprotkb:Q9D902	uniprotkb:Q7L576	intact:EBI-309435|uniprotkb:Q8VE14|uniprotkb:Q3U5Y7|uniprotkb:Q8BTZ2	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:t2eb_mouse(display_long)|uniprotkb:Transcription initiation factor IIE subunit beta(gene name synonym)|uniprotkb:Gtf2e2(gene name)|psi-mi:Gtf2e2(display_short)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11096128|imex:IM-24272-777	intact-miscore:0.35
uniprotkb:Q8CAF4	uniprotkb:Q7L576	intact:EBI-11096298|uniprotkb:Q5DTY4|uniprotkb:Q8C8Z7|uniprotkb:Q9CYM2|uniprotkb:Q91YY6|uniprotkb:Q8K0R2|uniprotkb:Q6P6Y7	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:nhsl1_mouse(display_long)|uniprotkb:Nhsl1(gene name)|psi-mi:Nhsl1(display_short)|uniprotkb:Kiaa1357(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11096313|imex:IM-24272-780	intact-miscore:0.35
uniprotkb:Q9H251-9	uniprotkb:Q7L576	intact:EBI-11943338	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:q9h251-9(display_long)|uniprotkb:CDH23(gene name)|psi-mi:CDH23(display_short)|uniprotkb:KIAA1774(gene name synonym)|uniprotkb:KIAA1812(gene name synonym)|uniprotkb:Otocadherin(gene name synonym)|uniprotkb:UNQ1894/PRO4340(orf name)|uniprotkb:B2(isoform synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Boldt et al. (2016)	pubmed:27173435|imex:IM-25054	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-12449357|imex:IM-25054-28	intact-miscore:0.35
uniprotkb:Q7TMB8	uniprotkb:Q5SQX6	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16727444|imex:IM-26285-5	intact-miscore:0.35
uniprotkb:Q5SQX6	uniprotkb:Q7TMB8	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li et al. (2017)	pubmed:28671696|doi:10.1038/nn.4594|imex:IM-26285	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16727864|imex:IM-26285-7	intact-miscore:0.35
uniprotkb:Q5S007	uniprotkb:Q7L576	intact:EBI-5323863|uniprotkb:A6NJU2|uniprotkb:Q6ZS50|uniprotkb:Q8NCX9	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:lrrk2_human(display_long)|uniprotkb:LRRK2(gene name)|psi-mi:LRRK2(display_short)|uniprotkb:PARK8(gene name synonym)|uniprotkb:Dardarin(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lee et al. (2019)	pubmed:31046837|imex:IM-26684	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21364596|imex:IM-26684-50	intact-miscore:0.53
uniprotkb:P03372	uniprotkb:Q7L576	intact:EBI-78473|uniprotkb:Q5T5H7|uniprotkb:Q6MZQ9|uniprotkb:Q13511|uniprotkb:Q14276|uniprotkb:Q9NU51|uniprotkb:Q9UDZ7|uniprotkb:Q9UIS7	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:esr1_human(display_long)|uniprotkb:ESR1(gene name)|psi-mi:ESR1(display_short)|uniprotkb:ESR(gene name synonym)|uniprotkb:NR3A1(gene name synonym)|uniprotkb:Estradiol receptor(gene name synonym)|uniprotkb:ER-alpha(gene name synonym)|uniprotkb:Nuclear receptor subfamily 3 group A member 1(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Nassa et al. (2019)	pubmed:31527615|imex:IM-26954	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21301141|imex:IM-26954-1	intact-miscore:0.35
uniprotkb:P03372	uniprotkb:Q96F07	intact:EBI-78473|uniprotkb:Q5T5H7|uniprotkb:Q6MZQ9|uniprotkb:Q13511|uniprotkb:Q14276|uniprotkb:Q9NU51|uniprotkb:Q9UDZ7|uniprotkb:Q9UIS7	intact:EBI-2433893|uniprotkb:A6NLT2|uniprotkb:Q53EN5|uniprotkb:Q9NTK4|uniprotkb:Q9ULQ2|uniprotkb:Q9UN29|uniprotkb:D3DQJ3	psi-mi:esr1_human(display_long)|uniprotkb:ESR1(gene name)|psi-mi:ESR1(display_short)|uniprotkb:ESR(gene name synonym)|uniprotkb:NR3A1(gene name synonym)|uniprotkb:Estradiol receptor(gene name synonym)|uniprotkb:ER-alpha(gene name synonym)|uniprotkb:Nuclear receptor subfamily 3 group A member 1(gene name synonym)	psi-mi:cyfp2_human(display_long)|uniprotkb:CYFIP2(gene name)|psi-mi:CYFIP2(display_short)|uniprotkb:KIAA1168(gene name synonym)|uniprotkb:PIR121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Nassa et al. (2019)	pubmed:31527615|imex:IM-26954	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21302175|imex:IM-26954-3	intact-miscore:0.35
uniprotkb:Q8IZP0	uniprotkb:Q7L576	intact:EBI-375446|uniprotkb:A9Z1Y6|uniprotkb:Q5T2R3|uniprotkb:Q5T2R4|uniprotkb:Q5T2R6|uniprotkb:Q5T2R7|uniprotkb:B4DQ58|uniprotkb:O15147|uniprotkb:O76049|uniprotkb:O95060|uniprotkb:Q5W070|uniprotkb:Q5W072|uniprotkb:Q8TB63|uniprotkb:Q96S81|uniprotkb:Q9NXZ9|uniprotkb:Q9NYB8|uniprotkb:Q5T2R9|uniprotkb:B3KX62|uniprotkb:H7BXI6	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi1_human(display_long)|uniprotkb:ABI1(gene name)|psi-mi:ABI1(display_short)|uniprotkb:SSH3BP1(gene name synonym)|uniprotkb:Abelson interactor 1(gene name synonym)|uniprotkb:Spectrin SH3 domain-binding protein 1(gene name synonym)|uniprotkb:Eps8 SH3 domain-binding protein(gene name synonym)|uniprotkb:e3B1(gene name synonym)|uniprotkb:Nap1-binding protein(gene name synonym)|uniprotkb:Abl-binding protein 4(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kennedy et al. (2019)	pubmed:31980649|imex:IM-26434	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25388446|imex:IM-26434-119	intact-miscore:0.74
