#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q8IZP0	uniprotkb:Q7L576	intact:EBI-375446|uniprotkb:A9Z1Y6|uniprotkb:Q5T2R3|uniprotkb:Q5T2R4|uniprotkb:Q5T2R6|uniprotkb:Q5T2R7|uniprotkb:B4DQ58|uniprotkb:O15147|uniprotkb:O76049|uniprotkb:O95060|uniprotkb:Q5W070|uniprotkb:Q5W072|uniprotkb:Q8TB63|uniprotkb:Q96S81|uniprotkb:Q9NXZ9|uniprotkb:Q9NYB8|uniprotkb:Q5T2R9|uniprotkb:B3KX62|uniprotkb:H7BXI6	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:abi1_human(display_long)|uniprotkb:ABI1(gene name)|psi-mi:ABI1(display_short)|uniprotkb:SSH3BP1(gene name synonym)|uniprotkb:Abelson interactor 1(gene name synonym)|uniprotkb:Spectrin SH3 domain-binding protein 1(gene name synonym)|uniprotkb:Eps8 SH3 domain-binding protein(gene name synonym)|uniprotkb:e3B1(gene name synonym)|uniprotkb:Nap1-binding protein(gene name synonym)|uniprotkb:Abl-binding protein 4(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kennedy et al. (2019)	pubmed:31980649|imex:IM-26434	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25376797|imex:IM-26434-26	intact-miscore:0.74
uniprotkb:Q8IZP0	uniprotkb:Q96F07	intact:EBI-375446|uniprotkb:A9Z1Y6|uniprotkb:Q5T2R3|uniprotkb:Q5T2R4|uniprotkb:Q5T2R6|uniprotkb:Q5T2R7|uniprotkb:B4DQ58|uniprotkb:O15147|uniprotkb:O76049|uniprotkb:O95060|uniprotkb:Q5W070|uniprotkb:Q5W072|uniprotkb:Q8TB63|uniprotkb:Q96S81|uniprotkb:Q9NXZ9|uniprotkb:Q9NYB8|uniprotkb:Q5T2R9|uniprotkb:B3KX62|uniprotkb:H7BXI6	intact:EBI-2433893|uniprotkb:A6NLT2|uniprotkb:Q53EN5|uniprotkb:Q9NTK4|uniprotkb:Q9ULQ2|uniprotkb:Q9UN29|uniprotkb:D3DQJ3	psi-mi:abi1_human(display_long)|uniprotkb:ABI1(gene name)|psi-mi:ABI1(display_short)|uniprotkb:SSH3BP1(gene name synonym)|uniprotkb:Abelson interactor 1(gene name synonym)|uniprotkb:Spectrin SH3 domain-binding protein 1(gene name synonym)|uniprotkb:Eps8 SH3 domain-binding protein(gene name synonym)|uniprotkb:e3B1(gene name synonym)|uniprotkb:Nap1-binding protein(gene name synonym)|uniprotkb:Abl-binding protein 4(gene name synonym)	psi-mi:cyfp2_human(display_long)|uniprotkb:CYFIP2(gene name)|psi-mi:CYFIP2(display_short)|uniprotkb:KIAA1168(gene name synonym)|uniprotkb:PIR121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kennedy et al. (2019)	pubmed:31980649|imex:IM-26434	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25376797|imex:IM-26434-26	intact-miscore:0.56
uniprotkb:P03372	uniprotkb:Q7L576	intact:EBI-78473|uniprotkb:Q5T5H7|uniprotkb:Q6MZQ9|uniprotkb:Q13511|uniprotkb:Q14276|uniprotkb:Q9NU51|uniprotkb:Q9UDZ7|uniprotkb:Q9UIS7	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:esr1_human(display_long)|uniprotkb:ESR1(gene name)|psi-mi:ESR1(display_short)|uniprotkb:ESR(gene name synonym)|uniprotkb:NR3A1(gene name synonym)|uniprotkb:Estradiol receptor(gene name synonym)|uniprotkb:ER-alpha(gene name synonym)|uniprotkb:Nuclear receptor subfamily 3 group A member 1(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Nassa et al. (2019)	pubmed:31527615|imex:IM-26954	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21302175|imex:IM-26954-3	intact-miscore:0.35
uniprotkb:Q24150	uniprotkb:Q9VF87	intact:EBI-603430	intact:EBI-116862|uniprotkb:Q6NP16|uniprotkb:Q8MR06	psi-mi:q24150_drome(display_long)|uniprotkb:Nap1(gene name)|psi-mi:Nap1(display_short)|uniprotkb:CG5330(orf name)	psi-mi:cyfip_drome(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Sra-1(gene name)|psi-mi:Sra-1(display_short)|uniprotkb:Cyfip(gene name synonym)|uniprotkb:CG4931(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Bogdan et al. (2004)	pubmed:15269173	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-603442	intact-miscore:0.51
uniprotkb:Q24150	uniprotkb:Q9VF87	intact:EBI-603430	intact:EBI-116862|uniprotkb:Q6NP16|uniprotkb:Q8MR06	psi-mi:q24150_drome(display_long)|uniprotkb:Nap1(gene name)|psi-mi:Nap1(display_short)|uniprotkb:CG5330(orf name)	psi-mi:cyfip_drome(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Sra-1(gene name)|psi-mi:Sra-1(display_short)|uniprotkb:Cyfip(gene name synonym)|uniprotkb:CG4931(orf name)	psi-mi:"MI:0018"(two hybrid)	Bogdan et al. (2004)	pubmed:15269173	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-603449	intact-miscore:0.51
uniprotkb:Q9CQV8	uniprotkb:Q7TMB8	intact:EBI-771608|uniprotkb:O70455|uniprotkb:Q3TY33|uniprotkb:Q3UAN6	intact:EBI-772928|uniprotkb:Q3U7Q7|uniprotkb:Q5DU50|uniprotkb:Q7TSZ5|uniprotkb:Q80VN6|uniprotkb:Q8CE85|uniprotkb:Q99LY1|uniprotkb:O88558	psi-mi:1433b_mouse(display_long)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)|uniprotkb:Ywhab(gene name)|psi-mi:Ywhab(display_short)	psi-mi:cyfp1_mouse(display_long)|uniprotkb:Kiaa0068(gene name synonym)|uniprotkb:Sra1(gene name synonym)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:Cyfip1(gene name)|psi-mi:Cyfip1(display_short)|uniprotkb:Shyc(gene name synonym)	psi-mi:"MI:0029"(cosedimentation through density gradient)	Collins et al. (2005)	pubmed:16635246	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-776423	intact-miscore:0.35
uniprotkb:Q9CQV8	uniprotkb:Q5SQX6	intact:EBI-771608|uniprotkb:O70455|uniprotkb:Q3TY33|uniprotkb:Q3UAN6	intact:EBI-773783|uniprotkb:Q3UH21|uniprotkb:Q3UHS8|uniprotkb:Q8BSW0|uniprotkb:Q8CHA9|uniprotkb:Q924D3|uniprotkb:Q9R181	psi-mi:1433b_mouse(display_long)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)|uniprotkb:Ywhab(gene name)|psi-mi:Ywhab(display_short)	psi-mi:cyfp2_mouse(display_long)|uniprotkb:Kiaa1168(gene name synonym)|uniprotkb:Pir121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)|uniprotkb:Cyfip2(gene name)|psi-mi:Cyfip2(display_short)	psi-mi:"MI:0029"(cosedimentation through density gradient)	Collins et al. (2005)	pubmed:16635246	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-776423	intact-miscore:0.35
uniprotkb:O60861	uniprotkb:Q7L576	intact:EBI-2683717|uniprotkb:Q53Y77|uniprotkb:B2RCK9|uniprotkb:Q7Z571|uniprotkb:O43144|uniprotkb:A8KAC2	intact:EBI-1048143|uniprotkb:A8K6D9|dip:DIP-38873N|uniprotkb:Q14467|uniprotkb:Q5IED0|uniprotkb:Q6ZSX1|uniprotkb:Q9BSD9|uniprotkb:Q9BVC7	psi-mi:gas7_human(display_long)|uniprotkb:GAS7(gene name)|psi-mi:GAS7(display_short)|uniprotkb:KIAA0394(gene name synonym)	psi-mi:cyfp1_human(display_long)|uniprotkb:Specifically Rac1-associated protein 1(gene name synonym)|uniprotkb:p140sra-1(gene name synonym)|uniprotkb:CYFIP1(gene name)|psi-mi:CYFIP1(display_short)|uniprotkb:KIAA0068(gene name synonym)	psi-mi:"MI:0096"(pull down)	Ingham et al. (2005)	pubmed:16055720|mint:MINT-5217863|doi:10.1128/MCB.25.16.7092-7106.2005	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7721151|mint:MINT-72913	intact-miscore:0.40
uniprotkb:Q9Y2A7	uniprotkb:Q96F07	intact:EBI-389845|dip:DIP-31119N|uniprotkb:O60329|uniprotkb:Q53QN5|uniprotkb:Q53S94|uniprotkb:Q53Y35	intact:EBI-2433893|uniprotkb:A6NLT2|uniprotkb:Q53EN5|uniprotkb:Q9NTK4|uniprotkb:Q9ULQ2|uniprotkb:Q9UN29|uniprotkb:D3DQJ3	psi-mi:nckp1_human(display_long)|uniprotkb:NCKAP1(gene name)|psi-mi:NCKAP1(display_short)|uniprotkb:HEM2(gene name synonym)|uniprotkb:KIAA0587(gene name synonym)|uniprotkb:NAP1(gene name synonym)|uniprotkb:p125Nap1(gene name synonym)|uniprotkb:Membrane-associated protein HEM-2(gene name synonym)	psi-mi:cyfp2_human(display_long)|uniprotkb:CYFIP2(gene name)|psi-mi:CYFIP2(display_short)|uniprotkb:KIAA1168(gene name synonym)|uniprotkb:PIR121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)	psi-mi:"MI:0428"(imaging technique)	Innocenti et al. (2004)	pubmed:15048123|mint:MINT-5216987	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7160508|mint:MINT-45996	intact-miscore:0.32
uniprotkb:Q8IZP0	uniprotkb:Q96F07	intact:EBI-375446|uniprotkb:A9Z1Y6|uniprotkb:Q5T2R3|uniprotkb:Q5T2R4|uniprotkb:Q5T2R6|uniprotkb:Q5T2R7|uniprotkb:B4DQ58|uniprotkb:O15147|uniprotkb:O76049|uniprotkb:O95060|uniprotkb:Q5W070|uniprotkb:Q5W072|uniprotkb:Q8TB63|uniprotkb:Q96S81|uniprotkb:Q9NXZ9|uniprotkb:Q9NYB8|uniprotkb:Q5T2R9|uniprotkb:B3KX62|uniprotkb:H7BXI6	intact:EBI-2433893|uniprotkb:A6NLT2|uniprotkb:Q53EN5|uniprotkb:Q9NTK4|uniprotkb:Q9ULQ2|uniprotkb:Q9UN29|uniprotkb:D3DQJ3	psi-mi:abi1_human(display_long)|uniprotkb:ABI1(gene name)|psi-mi:ABI1(display_short)|uniprotkb:SSH3BP1(gene name synonym)|uniprotkb:Abelson interactor 1(gene name synonym)|uniprotkb:Spectrin SH3 domain-binding protein 1(gene name synonym)|uniprotkb:Eps8 SH3 domain-binding protein(gene name synonym)|uniprotkb:e3B1(gene name synonym)|uniprotkb:Nap1-binding protein(gene name synonym)|uniprotkb:Abl-binding protein 4(gene name synonym)	psi-mi:cyfp2_human(display_long)|uniprotkb:CYFIP2(gene name)|psi-mi:CYFIP2(display_short)|uniprotkb:KIAA1168(gene name synonym)|uniprotkb:PIR121(gene name synonym)|uniprotkb:p53-inducible protein 121(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Innocenti et al. (2004)	pubmed:15048123|mint:MINT-5216987	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7160598|mint:MINT-45982	intact-miscore:0.56
